@RELATION interest

@ATTRIBUTE previousWord3 string
@ATTRIBUTE previousWord3_type string
@ATTRIBUTE previousWord2 string
@ATTRIBUTE previousWord2_type string
@ATTRIBUTE previousWord1 string
@ATTRIBUTE previousWord1_type string
@ATTRIBUTE nextWord1 string
@ATTRIBUTE nextWord1_type string
@ATTRIBUTE nextWord2 string
@ATTRIBUTE nextWord2_type string
@ATTRIBUTE nextWord3 string
@ATTRIBUTE nextWord3_type string
@ATTRIBUTE class {1,2,3,4,5,6}

@DATA
NULL,NULL,in,IN,NULL,NULL,rates,NNS,NULL,NULL,X,X,6
indicate,VB,NULL,NULL,declining,VBG,rates,NNS,NULL,NULL,because,IN,6
in,IN,NULL,NULL,short-term,JJ,rates,NNS,NULL,NULL,X,X,6
a,DT,83X4,AB,NULL,NULL,NULL,NULL,in,IN,NULL,NULL,5
NULL,NULL,with,IN,NULL,NULL,NULL,NULL,in,IN,NULL,NULL,5
NULL,NULL,plus,CC,NULL,NULL,NULL,NULL,X,X,NULL,NULL,6
set,VBD,NULL,NULL,the,DT,rate,NN,NULL,NULL,on,IN,6
country,NN,'\'s',POS,own,JJ,NULL,NULL,NULL,NULL,prompted,VBD,4
NULL,NULL,and,CC,NULL,NULL,NULL,NULL,is,VBZ,NULL,NULL,6
increase,VB,NULL,NULL,its,'PP\S',NULL,NULL,to,TO,NULL,NULL,5
NULL,NULL,the,DT,strong,JJ,NULL,NULL,of,IN,NULL,NULL,1
early,RB,if,IN,NULL,NULL,rates,NNS,NULL,NULL,decline,VBP,6
NULL,NULL,in,IN,NULL,NULL,rates,NNS,NULL,NULL,since,IN,6
NULL,NULL,in,IN,NULL,NULL,rates,NNS,NULL,NULL,eventually,RB,6
plus,CC,accrued,VBN,NULL,NULL,NULL,NULL,to,TO,NULL,NULL,6
NULL,NULL,in,IN,NULL,NULL,rates,NNS,NULL,NULL,NULL,NULL,6
growing,JJ,NULL,NULL,international,JJ,NULL,NULL,in,IN,NULL,NULL,1
NULL,NULL,lower,JJR,uXsX,NP,rates,NNS,NULL,NULL,has,VBZ,6
showed,VBD,NULL,NULL,little,JJ,NULL,NULL,in,IN,NULL,NULL,1
cut,VB,NULL,NULL,short-term,JJ,rates,NNS,NULL,NULL,NULL,NULL,6
key,JJ,federal,JJ,funds,NNS,rate,NN,NULL,NULL,by,IN,6
in,IN,NULL,NULL,higher,JJR,costs,NNS,NULL,NULL,to,TO,6
